id;language;word_text;part_of_speech;pronunciation;audio;definition;example_sentence;etymology
1;willfully;absent boo than;round pier as;aboard;hence;meringue geez gymnast;indeed brief finally;exposition around
2;for noteworthy overjoyed;jalapeño since;indeed furthermore kookily;eek;poorly;atop quit;conceive;woot aw
3;distant phew joshingly;wholly since surge;after judgementally;popularize beyond disbelieve;criterion augment;dialect;upon indeed;surcharge
4;amused;fussy except communist;or;furthermore gender;acidly behove clueless;justly attain;yang thunderous;down induce though
5;duh;quickly hence;endothelium wholly regarding;stash why;sanctuary fibrosis;mortally if;for;brr perpetrate
6;cramp clarify ha;or because awkwardly;bop but;modest refuse vivaciously;courteous inasmuch pace;menorah;tame unless;conversation
7;oof;amongst;golden except;childhood discussion before;yet zowie;lovingly;loyal lest jubilantly;forenenst
8;yahoo thankfully shack;cymbal for;ethical;finally lecture snowflake;edger pasteurize woot;dreamily exile hmph;tattoo churn whose;provided afore pish
9;rumble;loftily impress;positive quarterback;dent;bravely;coaxingly greedily plus;opposite duh;cast
10;pfft oof apud;obnoxiously vacantly except;yum excoriate playfully;pish;throbbing;circumstance opposite reschedule;bah gadzooks;taxi mysteriously cheerful
